add_heads	bidirectional	dev_best_accuracy_t33	dev_best_accuracy_t50	dev_best_accuracy_t66	dev_best_f1_t33	dev_best_f1_t50	dev_best_f1_t66	dev_best_precision_t33	dev_best_precision_t50	dev_best_precision_t66	dev_best_recall@1	dev_best_recall@2	dev_best_recall@3	dev_best_recall@5	dev_best_recall_t33	dev_best_recall_t50	dev_best_recall_t66	dev_file_indices	dir	f1_macro	f1_wo_norelation_micro	fc_sizes	keep_prob	leaf_fc_size	nbr_trees	path	run_desc	run_description	steps_train	test_accuracy_t33	test_accuracy_t50	test_accuracy_t66	test_f1_t33	test_f1_t50	test_f1_t66	test_precision_t33	test_precision_t50	test_precision_t66	test_recall@1	test_recall@2	test_recall@3	test_recall@5	test_recall_t33	test_recall_t50	test_recall_t66	time_s	tree_embedder
		0.96858555	0.97055924	0.97197366	0.7122627216540393	0.7098865583253867	0.7064093791125263	0.6876091	0.7373737	0.7872504					0.73875	0.684375	0.640625	0,1	BOW_NOARGS	0.7484999999999999	0.76		0.9	250		RE/SEMEVAL2010T8/SPAN/BOW_NOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATSUM_ccF_tfidfF_vvrF_vvzF_spNOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATSUM_ccF_tfidfF_vvrF_vvzF/0	768	0.9683435	0.9703208	0.97096056	0.7097920921543364	0.707880161022115	0.6962692547176931	0.68578297	0.7343626	0.77447003					0.73554325	0.68324125	0.6324125	79.496971	FLAT_SUM
		0.96858555	0.9713816	0.97157896	0.712089209432605	0.718628744842757	0.7024793501859029	0.6878276	0.7446381	0.78220856					0.738125	0.694375	0.6375	0,1	BOW_NOARGS	0.752	0.7634000000000001		0.9	250		RE/SEMEVAL2010T8/SPAN/BOW_NOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATSUM_ccF_tfidfF_vvrF_vvzF_spNOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATSUM_ccF_tfidfF_vvrF_vvzF/1	832	0.9686537	0.9706892	0.97127074	0.7127376415112173	0.7134192426351554	0.701450454607955	0.6884008	0.7348692	0.7741218					0.7388582	0.693186	0.6412523	80.886772	FLAT_SUM
		0.9688487	0.9711513	0.9707895	0.7150165355781337	0.7067870076031426	0.6742479389612246	0.6894951	0.75988495	0.8161634					0.7425	0.660625	0.574375	0,1	BOW_NOARGS	0.7479	0.7598		0.9	250		RE/SEMEVAL2010T8/SPAN/BOW_NOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATSUM_ccF_tfidfF_vvrF_vvzF_spNOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATSUM_ccF_tfidfF_vvrF_vvzF/2	384	0.9682272	0.97117376	0.9707473	0.7082072100058653	0.7074562084701638	0.678182983923209	0.6853894	0.7592905	0.8054711					0.7325967	0.66224676	0.58563536	66.754137	FLAT_SUM
		0.96848685	0.9699013	0.97108555	0.7123123359557202	0.7051240497250686	0.6978343168505159	0.68554914	0.72787756	0.77540106					0.74125	0.68375	0.634375	0,1	BOW_NOARGS	0.7502	0.7626000000000001		0.9	250		RE/SEMEVAL2010T8/SPAN/BOW_NOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATSUM_ccF_tfidfF_vvrF_vvzF_spNOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATSUM_ccF_tfidfF_vvrF_vvzF/3	896	0.96851796	0.9709412	0.97142583	0.712362710020563	0.7173297752052077	0.7063745089358154	0.68611395	0.73493046	0.7691974					0.7406998	0.70055246	0.6530387	86.302939	FLAT_SUM
		0.9686842	0.97	0.9707895	0.713080153536725	0.7044718370583481	0.6927335929260302	0.68859136	0.73149395	0.77596897					0.739375	0.679375	0.625625	0,1	BOW_NOARGS	0.7503	0.7629		0.9	250		RE/SEMEVAL2010T8/SPAN/BOW_NOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATSUM_ccF_tfidfF_vvrF_vvzF_spNOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATSUM_ccF_tfidfF_vvrF_vvzF/4	704	0.9684017	0.9708442	0.9714064	0.7121158461221982	0.7126480991782631	0.6986720777741542	0.6840855	0.74037313	0.7844037					0.74254143	0.6869245	0.62983423	79.345775	FLAT_SUM
		0.97042763	0.9726645	0.9728618	0.7292983965707055	0.7302823672966103	0.7120419121035767	0.70366067	0.75962186	0.8063241					0.756875	0.703125	0.6375	0,1	BOW_NOARGS	0.7751	0.7854000000000001		0.9	250		RE/SEMEVAL2010T8/SPAN/BOW_NOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATMAX_ccF_tfidfF_vvrF_vvzF_spNOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATMAX_ccF_tfidfF_vvrF_vvzF/0	512	0.9713095	0.973345	0.97433364	0.7364672912293316	0.7377455644992814	0.7308942983253841	0.71285766	0.76503164	0.8154195					0.7616943	0.71233886	0.66224676	69.817806	FLAT_MAX
		0.9699342	0.9723355	0.9726645	0.7251954559595827	0.7216153836973841	0.7014013803156446	0.6987254	0.76706547	0.82502115					0.75375	0.68125	0.61	0,1	BOW_NOARGS	0.7806000000000001	0.7907		0.9	250		RE/SEMEVAL2010T8/SPAN/BOW_NOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATMAX_ccF_tfidfF_vvrF_vvzF_spNOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATMAX_ccF_tfidfF_vvrF_vvzF/1	448	0.9718135	0.973849	0.9734419	0.741465167428558	0.7393236475225207	0.7162386165899938	0.71674114	0.77764225	0.8182679					0.7679558	0.704604	0.6368324	66.60348	FLAT_MAX
		0.97046053	0.9725	0.97148025	0.7295180761618572	0.7205882471028917	0.6818348288827059	0.7040698	0.77442527	0.82577777					0.756875	0.67375	0.580625	0,1	BOW_NOARGS	0.7803	0.7870999999999999		0.9	250		RE/SEMEVAL2010T8/SPAN/BOW_NOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATMAX_ccF_tfidfF_vvrF_vvzF_spNOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATMAX_ccF_tfidfF_vvrF_vvzF/2	384	0.97123194	0.97408164	0.9734031	0.7358490619085125	0.7370697960391485	0.7088284779394837	0.71202207	0.7907173	0.83625436					0.76132596	0.6902394	0.6151013	63.597245	FLAT_MAX
		0.97085524	0.97355264	0.9731908	0.7345716350066126	0.7365661356529649	0.7129271070880387	0.7054085	0.77410465	0.8167877					0.76625	0.7025	0.6325	0,1	BOW_NOARGS	0.7614	0.7748999999999999		0.9	250		RE/SEMEVAL2010T8/SPAN/BOW_NOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATMAX_ccF_tfidfF_vvrF_vvzF_spNOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATMAX_ccF_tfidfF_vvrF_vvzF/3	512	0.9703596	0.97233695	0.973093	0.7283709159719451	0.726889938536271	0.7168503150682186	0.70350033	0.7565737	0.80338365					0.7550644	0.6994475	0.6471455	69.874426	FLAT_MAX
		0.9703289	0.9723684	0.9723026	0.7284768199021872	0.7244094595448674	0.7003558717858751	0.7026713	0.76243097	0.8132231					0.75625	0.69	0.615	0,1	BOW_NOARGS	0.772	0.7847		0.9	250		RE/SEMEVAL2010T8/SPAN/BOW_NOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATMAX_ccF_tfidfF_vvrF_vvzF_spNOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx0-1_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATMAX_ccF_tfidfF_vvrF_vvzF/4	448	0.97092175	0.97324806	0.9727634	0.7338537953107623	0.7334877905682529	0.7085666414793409	0.7079767	0.77101094	0.81101614					0.7616943	0.6994475	0.6290976	65.81589	FLAT_MAX
		0.96792763	0.9701645	0.97095394	0.707821392921054	0.7042712905528056	0.691366699951952	0.67990786	0.73619634	0.7842982					0.738125	0.675	0.618125	2,3	BOW_NOARGS	0.7464	0.7553		0.9	250		RE/SEMEVAL2010T8/SPAN/BOW_NOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx2-3_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATSUM_ccF_tfidfF_vvrF_vvzF_spNOARGS	aEDG_avfF_bs100_dF_b_clp5.0_cmAGGREGATE_cntxt0_dfidx2-3_dtF_ec_fc750_kp0.9_kpb1.0_kpn1.0_leaffc250_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st0_tkRELS_dataCORENLPRECEMBSPANMC2_teFLATSUM_ccF_tfidfF_vvrF_vvzF/0	704	0.9681884	0.97014636	0.97066975	0.7106330535996775	0.7065548943715279	0.6898954591339752	0.6816644	0.7319384	0.7777264					0.74217314	0.68287295	0.6198895	77.458154	FLAT_SUM
