dev_best_accuracy_t33	dev_best_accuracy_t50	dev_best_accuracy_t66	dev_best_f1_t33	dev_best_f1_t50	dev_best_f1_t66	dev_best_precision_t33	dev_best_precision_t50	dev_best_precision_t66	dev_best_recall_t33	dev_best_recall_t50	dev_best_recall_t66	dev_file_indices	dir	path	run_desc	run_description	steps_train	test_accuracy_t33	test_accuracy_t50	test_accuracy_t66	test_f1_t33	test_f1_t50	test_f1_t66	test_precision_t33	test_precision_t50	test_precision_t66	test_recall_t33	test_recall_t50	test_recall_t66	time_s	tree_embedder
0.897	0.902	0.8994	0.9007133363351442	0.9027005362711661	0.8976602682012667	0.86582655	0.89242244	0.90931576	0.93852955	0.91321814	0.8862997	0,1	RECNN	SENTIMENT/IMDB/EDGES/RECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx0-1_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF_spRECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx0-1_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF/0	2200	0.8958358	0.9031561	0.9042362	0.9003825381916002	0.9043347663862654	0.9028251113105527	0.86269337	0.893426	0.91628903	0.9415153	0.9155132	0.8897512	1711.116286	
0.897	0.903	0.902	0.9010567219874589	0.9042448231813719	0.901329022714231	0.86340207	0.88897514	0.9035123	0.94214547	0.92004824	0.8991563	0,1	RECNN	SENTIMENT/IMDB/EDGES/RECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx0-1_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF_spRECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx0-1_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF/1	2200	0.8917957	0.900156	0.9019161	0.8972069171661006	0.9024771437514666	0.9016604028132857	0.85444415	0.88193965	0.9039807	0.94447553	0.92399395	0.89935195	1716.151897	
0.8974	0.9004	0.895	0.8993525455273534	0.900519390651748	0.8928790358361782	0.87883437	0.89551055	0.907131	0.92085177	0.9055846	0.8790679	0,1	RECNN	SENTIMENT/IMDB/EDGES/RECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx0-1_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF_spRECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx0-1_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF/2	2600	0.49625984	0.49973997	0.50002	0.3815136678953233	0.0012777511142793476	nan	0.49402186	0.3478261	0.0	0.31074485	0.0006400512	0.0	1840.624465	
0.9028	0.9032	0.9004	0.9030327657907868	0.9023800280898493	0.8985329795858247	0.8969481	0.9060348	0.9115337	0.9092005	0.89875454	0.88589793	0,1	RECNN	SENTIMENT/IMDB/EDGES/RECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx0-1_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF_spRECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx0-1_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF/3	7000	0.899516	0.899796	0.89851594	0.9000477615019101	0.8992559519407756	0.8968573089399575	0.8952743	0.90409184	0.91172093	0.9048724	0.8944716	0.8824706	3187.90646	
0.8998	0.9056	0.9032	0.9033378209215668	0.9073055688848627	0.9031225034955672	0.86896807	0.8874376	0.89988035	0.94053835	0.92808354	0.9063881	0,1	RECNN	SENTIMENT/IMDB/EDGES/RECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx0-1_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF_spRECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx0-1_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF/4	2600	0.8930757	0.89927596	0.90175605	0.8978796084639737	0.9017557670634928	0.9022993122506531	0.85924244	0.88005483	0.89730203	0.9401552	0.924554	0.90735257	1859.704146	
0.8974	0.903	0.8926	0.8995889280758791	0.9021190409795903	0.8881482706972725	0.8824885	0.9122449	0.9285714	0.91736525	0.89221555	0.8510978	2,3	RECNN	SENTIMENT/IMDB/EDGES/RECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx2-3_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF_spRECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx2-3_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF/0	1600	0.899876	0.900276	0.89207566	0.9018546880873765	0.8986708926984259	0.8864095780919844	0.88434327	0.9133344	0.9354839	0.9200736	0.88447076	0.8422274	1574.260125	
0.901	0.9018	0.8982	0.901059353690946	0.9005066009744956	0.895632546082845	0.9023219	0.9144033	0.920742	0.8998004	0.88702595	0.8718563	2,3	RECNN	SENTIMENT/IMDB/EDGES/RECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx2-3_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF_spRECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx2-3_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF/1	6800	0.899956	0.899396	0.8975159	0.8999879982702989	0.8981327603037221	0.8948621326515829	0.8996642	0.909516	0.9186115	0.900312	0.88703096	0.8723098	3125.955727	
0.8952	0.9018	0.8944	0.8995784101554095	0.9022496703785241	0.8909541746620615	0.865094	0.8999206	0.92297816	0.9369261	0.90459085	0.86107785	2,3	RECNN	SENTIMENT/IMDB/EDGES/RECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx2-3_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF_spRECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx2-3_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF/2	2000	0.89655584	0.90411615	0.900276	0.9007445867888312	0.9042693568766861	0.89690255227564	0.8656584	0.9027911	0.9282657	0.9387951	0.9057525	0.8675894	1690.611763	
0.8948	0.8982	0.8966	0.8975058614055004	0.8980980586029065	0.8939487206927417	0.8766654	0.9008032	0.9194093	0.9193613	0.89540917	0.8698603	2,3	RECNN	SENTIMENT/IMDB/EDGES/RECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx2-3_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF_spRECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx2-3_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF/3	2800	0.8985959	0.9024361	0.89967597	0.9013042620223243	0.902295425050386	0.8970443340375713	0.87782496	0.90356225	0.92117023	0.9260741	0.9010321	0.8741499	1946.910604	
0.9006	0.8996	0.8916	0.9025299257437143	0.8987902703953764	0.8878775553684495	0.88704705	0.90794295	0.9214255	0.9185629	0.88982034	0.85668665	2,3	RECNN	SENTIMENT/IMDB/EDGES/RECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx2-3_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF_spRECNN	a_avfF_bs100_dF_bPOS-NIFW-PAR_clp5.0_cmTREE_cntxt0_dfidx2-3_dtF_ec_fc400_kp0.9_kpb1.0_kpn1.0_leaffc0_lr0.001_lc-1_dpth20_mtMULTICLASS_n10000_ns20_nfvF_rootfc_sm_sl50_st350_tkSTM_dataCORENLPNONERRECEMBEDGESMC20_teHTUREDUCESUMMAPGRU_ccF_tfidfF_vvrF_vvzF/4	2200	0.9030361	0.9030761	0.8976359	0.9050379743598866	0.9024596320829817	0.8941380662394794	0.8866969	0.90819967	0.9257324	0.9241539	0.89679176	0.86462915	1794.430123	
